UNIQUE_ID,TRANSACTION_DATE,CLIENT_ID,TRANSACTION_ID,BANK_TRANSACTION_ID,ORGANIZATION_ID,PARTNER_ID,STORE_ID,STORE_CODE,CLIENT_CODE,ACQUIRER_ID,ACQUIRER_NAME,MERCHANT_ID,MERCHANT_CODE,SALE_DATE,FORECAST_DATE,DOC_NUMBER,POS_NUMBER,DESCRIPTION,SUMMARY,UK_SUMMARY,UK_TRANSACTION,BANK_CODE,BANK_BRANCH,BANK_ACCOUNT,EVENT_TYPE,TRANSACTION_CODE,EVENT_DESCRIPTION,CLASSIFICATION,SIGN,LINK_PAYMENT_DETAIL,TRANSACTION_TYPE,SETTLEMENT_TYPE,ADVANCE_PAYMENT_TYPE,FILE_NAME,FILE_SEQUENCE,FILE_NUMBER,LINE_NUMBER,RECONCILE_ID,GL_DATE,EXPECTED_CLEARING_DATE,PAYMENT_DATE,CLEARING_DATE,RECEIPT_AMOUNT,BANK_DOC_NUMBER,BANK_DESCRIPTION,DEPOSIT_DATE,DEPOSIT_AMOUNT,BANK_SIGN,CREATED_AT,STORE_NAME
20200506000155200000219315,2020-05-06,15520,219315,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-04,201260380004925,,RECEBIMENTO DE VENDA,201260380004925,2012603800049250000000,2012603800049250000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,44dbdab492498392be5574c00f9b6bb7,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663890,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,625.77,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219318,2020-05-06,15520,219318,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-04,201260360005891,,RECEBIMENTO DE VENDA,201260360005891,2012603600058910000000,2012603600058910000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,996918445fef6e642285d1110343d29d,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663893,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,259.68,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219673,2020-05-06,15520,219673,,0,0,62,24563620000369,APISB.1.1,1,CIELO,16,1100073504,,2020-06-04,201260370065293,,RECEBIMENTO DE VENDA,201260370065293,2012603700652930000000,2012603700652930000000,237,3367,17299,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,5892ded750d363867ae2b135741489ed,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25664330,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,685.11,,,,,+,[DT_EXECUCAO],UNIAO - COMERCIO LOJA 13
20200506000155200000219691,2020-05-06,15520,219691,,0,0,62,24563620000369,APISB.1.1,1,CIELO,16,1100073504,,2020-06-01,201216230107470,,RECEBIMENTO DE VENDA,201216230107470,2012162301074700000000,2012162301074700000000,237,3367,17299,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,64c3e2438f43a1bab844eae79eaa01e3,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25664308,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,422.16,,,,,+,[DT_EXECUCAO],UNIAO - COMERCIO LOJA 13
20200429000155200000218588,2020-04-29,15520,218588,,0,0,42,72995475000338,APISB.1.1,1,CIELO,6,1010809978,,2020-05-27,201180390008745,,RECEBIMENTO DE VENDA,201180390008745,2011803900087450000000,2011803900087450000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,175f16d5da45dfbb9fb9b5c00c003a0c,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660232,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,414.18,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 3
20200506000155200000219348,2020-05-06,15520,219348,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201210330005392,,RECEBIMENTO DE VENDA,201210330005392,2012103300053920000000,2012103300053920000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,99f02644a473c51c8ca05c73d5e724e6,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663848,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,1193.35,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219349,2020-05-06,15520,219349,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201210340004535,,RECEBIMENTO DE VENDA,201210340004535,2012103400045350000000,2012103400045350000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,2d5a8430dff8dd585328e3d107190a9a,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663849,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,947.48,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219356,2020-05-06,15520,219356,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201230330004834,,RECEBIMENTO DE VENDA,201230330004834,2012303300048340000000,2012303300048340000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,5017aeca458ea029dd78465ec9855ec7,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663856,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,601.34,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219357,2020-05-06,15520,219357,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201230320005630,,RECEBIMENTO DE VENDA,201230320005630,2012303200056300000000,2012303200056300000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,f4d693fe9c570250dc0b4e919620e143,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663857,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,596.18,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219358,2020-05-06,15520,219358,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201230330004835,,RECEBIMENTO DE VENDA,201230330004835,2012303300048350000000,2012303300048350000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,48829747fb4844359c44f9bf36b22353,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663858,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,594.82,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200506000155200000219360,2020-05-06,15520,219360,,0,0,66,72995475000257,APISB.1.1,1,CIELO,18,1003796807,,2020-06-01,201210310006166,,RECEBIMENTO DE VENDA,201210310006166,2012103100061660000000,2012103100061660000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,45d98045701241453cdbc81a947a1d99,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200507-CIELO10-1025515762-253223689,7939,1086031,25663860,-1,2020-05-06,2020-05-06,2020-05-06,2020-05-06,331.99,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 2
20200429000155200000218607,2020-04-29,15520,218607,,0,0,42,72995475000338,APISB.1.1,1,CIELO,6,1010809978,,2020-05-28,201190330013409,,RECEBIMENTO DE VENDA,201190330013409,2011903300134090000000,2011903300134090000000,237,3367,47600,RECEBIMENTO,ROELO,RECEBIMENTO,recebimento de venda,+,a07b2713a966ac7d799e5221532fd742,RECEBIMENTO,ANTECIPADO,ADQUIRENTE,20200430-CIELO10-1025515762-242259825,7932,1086030,25660242,-1,2020-04-29,2020-04-29,2020-04-29,2020-04-29,20.67,,,,,+,[DT_EXECUCAO],UNISUPER UNIAO LOJA 3
